login,url,number_of_contributions
technoweenie,https://github.com/technoweenie,435
ttaylorr,https://github.com/ttaylorr,406
rubyist,https://github.com/rubyist,64
bkeepers,https://github.com/bkeepers,5
leereilly,https://github.com/leereilly,4
shiftkey,https://github.com/shiftkey,4
mhagger,https://github.com/mhagger,3
terrorobe,https://github.com/terrorobe,3
jonmagic,https://github.com/jonmagic,2
benbalter,https://github.com/benbalter,2
rubiojr,https://github.com/rubiojr,2
MikeMcQuaid,https://github.com/MikeMcQuaid,2
joshaber,https://github.com/joshaber,1
b4mboo,https://github.com/b4mboo,1
joshvera,https://github.com/joshvera,1
hoolio,https://github.com/hoolio,1
cjs,https://github.com/cjs,1
skalnik,https://github.com/skalnik,1
