login,url,number_of_contributions
bkeepers,https://github.com/bkeepers,48
lildude,https://github.com/lildude,28
kivikakk,https://github.com/kivikakk,25
vmg,https://github.com/vmg,16
gjtorikian,https://github.com/gjtorikian,12
charliesome,https://github.com/charliesome,9
josh,https://github.com/josh,9
brianmario,https://github.com/brianmario,8
izuzak,https://github.com/izuzak,4
piki,https://github.com/piki,4
kevinsawicki,https://github.com/kevinsawicki,3
parkr,https://github.com/parkr,3
benbalter,https://github.com/benbalter,3
skalnik,https://github.com/skalnik,2
jdennes,https://github.com/jdennes,2
mislav,https://github.com/mislav,2
robrix,https://github.com/robrix,1
rmosolgo,https://github.com/rmosolgo,1
matthewmccullough,https://github.com/matthewmccullough,1
tarebyte,https://github.com/tarebyte,1
ptoomey3,https://github.com/ptoomey3,1
Caged,https://github.com/Caged,1
snh,https://github.com/snh,1
stoe,https://github.com/stoe,1
rafer,https://github.com/rafer,1
tclem,https://github.com/tclem,1
