login,url,number_of_contributions
arfon,https://github.com/arfon,295
pchaigno,https://github.com/pchaigno,194
Alhadis,https://github.com/Alhadis,69
larsbrinkhoff,https://github.com/larsbrinkhoff,62
aroben,https://github.com/aroben,59
ghost,https://github.com/ghost,38
tnm,https://github.com/tnm,18
smola,https://github.com/smola,12
brandonblack,https://github.com/brandonblack,10
sebgod,https://github.com/sebgod,10
vszakats,https://github.com/vszakats,9
myguidingstar-zz,https://github.com/myguidingstar-zz,9
rick,https://github.com/rick,9
keplersj,https://github.com/keplersj,9
sahildua2305,https://github.com/sahildua2305,8
geoff-codes,https://github.com/geoff-codes,8
MaickelHubner,https://github.com/MaickelHubner,7
simongarland,https://github.com/simongarland,7
phase,https://github.com/phase,7
fingolfin,https://github.com/fingolfin,7
alindeman,https://github.com/alindeman,6
Dominator008,https://github.com/Dominator008,6
jamesqo,https://github.com/jamesqo,6
rkoeninger,https://github.com/rkoeninger,6
hkdobrev,https://github.com/hkdobrev,6
wcandillon,https://github.com/wcandillon,5
bfontaine,https://github.com/bfontaine,5
Mailaender,https://github.com/Mailaender,5
rofl0r,https://github.com/rofl0r,5
ibnfirnas,https://github.com/ibnfirnas,5
dasmithii,https://github.com/dasmithii,5
floscher,https://github.com/floscher,5
MarcianoPreciado,https://github.com/MarcianoPreciado,4
relrod,https://github.com/relrod,4
MahmoudFayed,https://github.com/MahmoudFayed,4
kevinjalbert,https://github.com/kevinjalbert,4
nwhetsell,https://github.com/nwhetsell,4
williamd1k0,https://github.com/williamd1k0,4
dwarfland,https://github.com/dwarfland,4
paulcbetts,https://github.com/paulcbetts,4
tgjones,https://github.com/tgjones,4
hoelzro,https://github.com/hoelzro,4
liluo,https://github.com/liluo,3
ntkme,https://github.com/ntkme,3
vitaut,https://github.com/vitaut,3
pmkary,https://github.com/pmkary,3
meganemura,https://github.com/meganemura,3
Pilooz,https://github.com/Pilooz,3
seppestas,https://github.com/seppestas,3
mndrix,https://github.com/mndrix,3
lsf37,https://github.com/lsf37,3
jtbandes,https://github.com/jtbandes,3
BPScott,https://github.com/BPScott,3
jbrooksuk,https://github.com/jbrooksuk,3
ScrimpyCat,https://github.com/ScrimpyCat,3
carlosgaldino,https://github.com/carlosgaldino,3
ognevsky,https://github.com/ognevsky,3
javierhonduco,https://github.com/javierhonduco,3
jkrmr,https://github.com/jkrmr,3
Oldes,https://github.com/Oldes,3
abevoelker,https://github.com/abevoelker,3
brandonwamboldt,https://github.com/brandonwamboldt,3
elofgren,https://github.com/elofgren,3
pmoura,https://github.com/pmoura,3
afischer,https://github.com/afischer,3
Grahack,https://github.com/Grahack,3
kaendfinger,https://github.com/kaendfinger,3
CrimsonTautology,https://github.com/CrimsonTautology,3
stof,https://github.com/stof,3
earl,https://github.com/earl,3
samcv,https://github.com/samcv,3
rdeltour,https://github.com/rdeltour,3
SimenB,https://github.com/SimenB,3
Wetitpig,https://github.com/Wetitpig,3
Shoelace,https://github.com/Shoelace,3
aaronpuchert,https://github.com/aaronpuchert,3
ancarda,https://github.com/ancarda,3
qqshfox,https://github.com/qqshfox,3
christianbundy,https://github.com/christianbundy,3
tberman,https://github.com/tberman,3
FarbodSalamat-Zadeh,https://github.com/FarbodSalamat-Zadeh,3
jrha,https://github.com/jrha,3
heaths,https://github.com/heaths,3
andyli,https://github.com/andyli,3
DoctorWhoof,https://github.com/DoctorWhoof,3
Uberi,https://github.com/Uberi,3
joeyspin,https://github.com/joeyspin,3
danluu,https://github.com/danluu,3
kusma,https://github.com/kusma,3
R4PaSs,https://github.com/R4PaSs,3
PaulBone,https://github.com/PaulBone,3
ajlangley,https://github.com/ajlangley,3
iblech,https://github.com/iblech,3
tenbits,https://github.com/tenbits,3
zonuexe,https://github.com/zonuexe,2
zacstewart,https://github.com/zacstewart,2
dalehenrich,https://github.com/dalehenrich,2
Acidburn0zzz,https://github.com/Acidburn0zzz,2
thorade,https://github.com/thorade,2
1972859718,https://github.com/1972859718,2
Sharpie,https://github.com/Sharpie,2
rlsosborne,https://github.com/rlsosborne,2
sappo,https://github.com/sappo,2
RyanCavanaugh,https://github.com/RyanCavanaugh,2
AnthonyDGreen,https://github.com/AnthonyDGreen,2
chriskuehl,https://github.com/chriskuehl,2
wkentaro,https://github.com/wkentaro,2
lamestation,https://github.com/lamestation,2
stuartpb,https://github.com/stuartpb,2
greghendershott,https://github.com/greghendershott,2
